Quarter,Date,GDP in billions of current dollars
1947 Q1,Jan 47,243.2
1947 Q2,Apr 47,246.0
1947 Q3,Jul 47,249.6
1947 Q4,Oct 47,259.7
1948 Q1,Jan 48,265.7
1948 Q2,Apr 48,272.6
1948 Q3,Jul 48,279.2
1948 Q4,Oct 48,280.4
1949 Q1,Jan 49,275.0
1949 Q2,Apr 49,271.4
1949 Q3,Jul 49,272.9
1949 Q4,Oct 49,270.6
1950 Q1,Jan 50,280.8
1950 Q2,Apr 50,290.4
1950 Q3,Jul 50,308.2
1950 Q4,Oct 50,319.9
1951 Q1,Jan 51,336.0
1951 Q2,Apr 51,344.1
1951 Q3,Jul 51,351.4
1951 Q4,Oct 51,356.2
1952 Q1,Jan 52,359.8
1952 Q2,Apr 52,361.0
1952 Q3,Jul 52,367.7
1952 Q4,Oct 52,380.8
1953 Q1,Jan 53,388.0
1953 Q2,Apr 53,391.7
1953 Q3,Jul 53,391.2
1953 Q4,Oct 53,386.0
1954 Q1,Jan 54,385.3
1954 Q2,Apr 54,386.1
1954 Q3,Jul 54,391.0
1954 Q4,Oct 54,399.7
1955 Q1,Jan 55,413.1
1955 Q2,Apr 55,421.5
1955 Q3,Jul 55,430.2
1955 Q4,Oct 55,437.1
1956 Q1,Jan 56,439.7
1956 Q2,Apr 56,446.0
1956 Q3,Jul 56,451.2
1956 Q4,Oct 56,460.5
1957 Q1,Jan 57,469.8
1957 Q2,Apr 57,472.0
1957 Q3,Jul 57,479.5
1957 Q4,Oct 57,474.9
1958 Q1,Jan 58,467.5
1958 Q2,Apr 58,472.0
1958 Q3,Jul 58,485.8
1958 Q4,Oct 58,499.6
1959 Q1,Jan 59,510.3
1959 Q2,Apr 59,522.7
1959 Q3,Jul 59,525.0
1959 Q4,Oct 59,528.6
1960 Q1,Jan 60,542.6
1960 Q2,Apr 60,541.1
1960 Q3,Jul 60,545.6
1960 Q4,Oct 60,540.2
1961 Q1,Jan 61,545.0
1961 Q2,Apr 61,555.5
1961 Q3,Jul 61,567.7
1961 Q4,Oct 61,580.6
1962 Q1,Jan 62,594.0
1962 Q2,Apr 62,600.4
1962 Q3,Jul 62,609.0
1962 Q4,Oct 62,612.3
1963 Q1,Jan 63,621.7
1963 Q2,Apr 63,629.8
1963 Q3,Jul 63,644.4
1963 Q4,Oct 63,653.9
1964 Q1,Jan 64,669.8
1964 Q2,Apr 64,678.7
1964 Q3,Jul 64,692.0
1964 Q4,Oct 64,697.3
1965 Q1,Jan 65,717.8
1965 Q2,Apr 65,730.2
1965 Q3,Jul 65,749.3
1965 Q4,Oct 65,771.9
1966 Q1,Jan 66,795.7
1966 Q2,Apr 66,805.0
1966 Q3,Jul 66,819.6
1966 Q4,Oct 66,833.3
1967 Q1,Jan 67,844.2
1967 Q2,Apr 67,849.0
1967 Q3,Jul 67,865.2
1967 Q4,Oct 67,881.4
1968 Q1,Jan 68,909.4
1968 Q2,Apr 68,934.3
1968 Q3,Jul 68,950.8
1968 Q4,Oct 68,968.0
1969 Q1,Jan 69,993.3
1969 Q2,Apr 69,1009.0
1969 Q3,Jul 69,1030.0
1969 Q4,Oct 69,1038.1
1970 Q1,Jan 70,1051.2
1970 Q2,Apr 70,1067.4
1970 Q3,Jul 70,1086.1
1970 Q4,Oct 70,1088.6
1971 Q1,Jan 71,1135.2
1971 Q2,Apr 71,1156.3
1971 Q3,Jul 71,1177.7
1971 Q4,Oct 71,1190.3
1972 Q1,Jan 72,1230.6
1972 Q2,Apr 72,1266.4
1972 Q3,Jul 72,1290.6
1972 Q4,Oct 72,1328.9
1973 Q1,Jan 73,1377.5
1973 Q2,Apr 73,1413.9
1973 Q3,Jul 73,1433.8
1973 Q4,Oct 73,1476.3
1974 Q1,Jan 74,1491.2
