Date,Monthn,Year,CPI,Inflation
1913-01-01,1,1913,9.8,
1913-02-01,2,1913,9.8,
1913-03-01,3,1913,9.8,
1913-04-01,4,1913,9.8,
1913-05-01,5,1913,9.7,
1913-06-01,6,1913,9.8,
1913-07-01,7,1913,9.9,
1913-08-01,8,1913,9.9,
1913-09-01,9,1913,10.0,
1913-10-01,10,1913,10.0,
1913-11-01,11,1913,10.1,
1913-12-01,12,1913,10.0,
1914-01-01,1,1914,10.0,2.0408163265306145
1914-02-01,2,1914,9.9,1.0204081632652962
1914-03-01,3,1914,9.9,1.0204081632652962
1914-04-01,4,1914,9.8,0.0
1914-05-01,5,1914,9.9,2.0618556701031077
1914-06-01,6,1914,9.9,1.0204081632652962
1914-07-01,7,1914,10.0,1.0101010101010166
1914-08-01,8,1914,10.2,3.0303030303030276
1914-09-01,9,1914,10.2,2.0000000000000018
1914-10-01,10,1914,10.1,1.0000000000000009
1914-11-01,11,1914,10.2,0.990099009900991
1914-12-01,12,1914,10.1,1.0000000000000009
1915-01-01,1,1915,10.1,1.0000000000000009
1915-02-01,2,1915,10.0,1.0101010101010166
1915-03-01,3,1915,9.9,0.0
1915-04-01,4,1915,10.0,2.0408163265306145
1915-05-01,5,1915,10.1,2.020202020202011
1915-06-01,6,1915,10.1,2.020202020202011
1915-07-01,7,1915,10.1,1.0000000000000009
1915-08-01,8,1915,10.1,-0.9803921568627416
1915-09-01,9,1915,10.1,-0.9803921568627416
1915-10-01,10,1915,10.2,0.990099009900991
1915-11-01,11,1915,10.3,0.9803921568627638
1915-12-01,12,1915,10.3,1.980198019801982
1916-01-01,1,1916,10.4,2.970297029702973
1916-02-01,2,1916,10.4,4.0000000000000036
1916-03-01,3,1916,10.5,6.060606060606055
1916-04-01,4,1916,10.6,6.000000000000005
1916-05-01,5,1916,10.7,5.940594059405946
1916-06-01,6,1916,10.8,6.930693069306937
1916-07-01,7,1916,10.8,6.930693069306937
1916-08-01,8,1916,10.9,7.920792079207928
1916-09-01,9,1916,11.1,9.90099009900991
1916-10-01,10,1916,11.3,10.784313725490202
1916-11-01,11,1916,11.5,11.650485436893199
1916-12-01,12,1916,11.6,12.621359223300965
1917-01-01,1,1917,11.7,12.5
1917-02-01,2,1917,12.0,15.384615384615374
1917-03-01,3,1917,12.0,14.28571428571428
1917-04-01,4,1917,12.6,18.867924528301884
1917-05-01,5,1917,12.8,19.62616822429908
1917-06-01,6,1917,13.0,20.370370370370374
1917-07-01,7,1917,12.8,18.518518518518512
1917-08-01,8,1917,13.0,19.266055045871553
1917-09-01,9,1917,13.3,19.81981981981984
1917-10-01,10,1917,13.5,19.469026548672552
1917-11-01,11,1917,13.5,17.391304347826097
1917-12-01,12,1917,13.7,18.10344827586208
1918-01-01,1,1918,14.0,19.658119658119656
1918-02-01,2,1918,14.1,17.500000000000004
1918-03-01,3,1918,14.0,16.666666666666675
1918-04-01,4,1918,14.2,12.698412698412698
1918-05-01,5,1918,14.5,13.28125
1918-06-01,6,1918,14.7,13.076923076923075
1918-07-01,7,1918,15.1,17.96875
1918-08-01,8,1918,15.4,18.461538461538463
1918-09-01,9,1918,15.7,18.045112781954884
1918-10-01,10,1918,16.0,18.518518518518512
1918-11-01,11,1918,16.3,20.740740740740748
1918-12-01,12,1918,16.5,20.43795620437956
1919-01-01,1,1919,16.5,17.85714285714286
1919-02-01,2,1919,16.2,14.893617021276583
1919-03-01,3,1919,16.4,17.142857142857125
1919-04-01,4,1919,16.7,17.6056338028169
1919-05-01,5,1919,16.9,16.551724137931025
1919-06-01,6,1919,16.9,14.965986394557817
1919-07-01,7,1919,17.4,15.231788079470189
1919-08-01,8,1919,17.7,14.935064935064934
1919-09-01,9,1919,17.8,13.375796178343968
1919-10-01,10,1919,18.1,13.125000000000009
1919-11-01,11,1919,18.5,13.496932515337413
1919-12-01,12,1919,18.9,14.545454545454529
1920-01-01,1,1920,19.3,16.96969696969697
1920-02-01,2,1920,19.5,20.370370370370374
1920-03-01,3,1920,19.7,20.12195121951219
1920-04-01,4,1920,20.3,21.556886227544926
1920-05-01,5,1920,20.6,21.89349112426038
1920-06-01,6,1920,20.9,23.66863905325445
1920-07-01,7,1920,20.8,19.54022988505748
1920-08-01,8,1920,20.3,14.689265536723163
1920-09-01,9,1920,20.0,12.35955056179774
1920-10-01,10,1920,19.9,9.944751381215443
1920-11-01,11,1920,19.8,7.027027027027022
