Date,Monthn,Year,Monthly Unemployment rate,Monthly Unemployment in tenth
1948-01-01,1,1948,3.4,34
1948-02-01,2,1948,3.8,38
1948-03-01,3,1948,4.0,40
1948-04-01,4,1948,3.9,39
1948-05-01,5,1948,3.5,35
1948-06-01,6,1948,3.6,36
1948-07-01,7,1948,3.6,36
1948-08-01,8,1948,3.9,39
1948-09-01,9,1948,3.8,38
1948-10-01,10,1948,3.7,37
1948-11-01,11,1948,3.8,38
1948-12-01,12,1948,4.0,40
1949-01-01,1,1949,4.3,43
1949-02-01,2,1949,4.7,47
1949-03-01,3,1949,5.0,50
1949-04-01,4,1949,5.3,53
1949-05-01,5,1949,6.1,61
1949-06-01,6,1949,6.2,62
1949-07-01,7,1949,6.7,67
1949-08-01,8,1949,6.8,68
1949-09-01,9,1949,6.6,66
1949-10-01,10,1949,7.9,79
1949-11-01,11,1949,6.4,64
1949-12-01,12,1949,6.6,66
1950-01-01,1,1950,6.5,65
1950-02-01,2,1950,6.4,64
1950-03-01,3,1950,6.3,63
1950-04-01,4,1950,5.8,58
1950-05-01,5,1950,5.5,55
1950-06-01,6,1950,5.4,54
1950-07-01,7,1950,5.0,50
1950-08-01,8,1950,4.5,45
1950-09-01,9,1950,4.4,44
1950-10-01,10,1950,4.2,42
1950-11-01,11,1950,4.2,42
1950-12-01,12,1950,4.3,43
1951-01-01,1,1951,3.7,37
1951-02-01,2,1951,3.4,34
1951-03-01,3,1951,3.4,34
1951-04-01,4,1951,3.1,31
1951-05-01,5,1951,3.0,30
1951-06-01,6,1951,3.2,32
1951-07-01,7,1951,3.1,31
1951-08-01,8,1951,3.1,31
1951-09-01,9,1951,3.3,33
1951-10-01,10,1951,3.5,35
1951-11-01,11,1951,3.5,35
1951-12-01,12,1951,3.1,31
1952-01-01,1,1952,3.2,32
1952-02-01,2,1952,3.1,31
1952-03-01,3,1952,2.9,29
1952-04-01,4,1952,2.9,29
1952-05-01,5,1952,3.0,30
1952-06-01,6,1952,3.0,30
1952-07-01,7,1952,3.2,32
1952-08-01,8,1952,3.4,34
1952-09-01,9,1952,3.1,31
1952-10-01,10,1952,3.0,30
1952-11-01,11,1952,2.8,28
1952-12-01,12,1952,2.7,27
1953-01-01,1,1953,2.9,29
1953-02-01,2,1953,2.6,26
1953-03-01,3,1953,2.6,26
1953-04-01,4,1953,2.7,27
1953-05-01,5,1953,2.5,25
1953-06-01,6,1953,2.5,25
1953-07-01,7,1953,2.6,26
1953-08-01,8,1953,2.7,27
1953-09-01,9,1953,2.9,29
1953-10-01,10,1953,3.1,31
1953-11-01,11,1953,3.5,35
1953-12-01,12,1953,4.5,45
1954-01-01,1,1954,4.9,49
1954-02-01,2,1954,5.2,52
1954-03-01,3,1954,5.7,57
1954-04-01,4,1954,5.9,59
1954-05-01,5,1954,5.9,59
1954-06-01,6,1954,5.6,56
1954-07-01,7,1954,5.8,58
1954-08-01,8,1954,6.0,60
1954-09-01,9,1954,6.1,61
1954-10-01,10,1954,5.7,57
1954-11-01,11,1954,5.3,53
1954-12-01,12,1954,5.0,50
1955-01-01,1,1955,4.9,49
1955-02-01,2,1955,4.7,47
1955-03-01,3,1955,4.6,46
1955-04-01,4,1955,4.7,47
1955-05-01,5,1955,4.3,43
1955-06-01,6,1955,4.2,42
1955-07-01,7,1955,4.0,40
1955-08-01,8,1955,4.2,42
1955-09-01,9,1955,4.1,41
1955-10-01,10,1955,4.3,43
1955-11-01,11,1955,4.2,42
1955-12-01,12,1955,4.2,42
1956-01-01,1,1956,4.0,40
1956-02-01,2,1956,3.9,39
1956-03-01,3,1956,4.2,42
1956-04-01,4,1956,4.0,40
1956-05-01,5,1956,4.3,43
1956-06-01,6,1956,4.3,43
1956-07-01,7,1956,4.4,44
1956-08-01,8,1956,4.1,41
1956-09-01,9,1956,3.9,39
1956-10-01,10,1956,3.9,39
1956-11-01,11,1956,4.3,43
1956-12-01,12,1956,4.2,42
1957-01-01,1,1957,4.2,42
1957-02-01,2,1957,3.9,39
1957-03-01,3,1957,3.7,37
1957-04-01,4,1957,3.9,39
1957-05-01,5,1957,4.1,41
1957-06-01,6,1957,4.3,43
1957-07-01,7,1957,4.2,42
1957-08-01,8,1957,4.1,41
1957-09-01,9,1957,4.4,44
1957-10-01,10,1957,4.5,45
1957-11-01,11,1957,5.1,51
1957-12-01,12,1957,5.2,52
1958-01-01,1,1958,5.8,58
1958-02-01,2,1958,6.4,64
1958-03-01,3,1958,6.7,67
1958-04-01,4,1958,7.4,74
1958-05-01,5,1958,7.4,74
1958-06-01,6,1958,7.3,73
1958-07-01,7,1958,7.5,75
1958-08-01,8,1958,7.4,74
1958-09-01,9,1958,7.1,71
1958-10-01,10,1958,6.7,67
1958-11-01,11,1958,6.2,62
1958-12-01,12,1958,6.2,62
1959-01-01,1,1959,6.0,60
1959-02-01,2,1959,5.9,59
1959-03-01,3,1959,5.6,56
1959-04-01,4,1959,5.2,52
1959-05-01,5,1959,5.1,51
1959-06-01,6,1959,5.0,50
1959-07-01,7,1959,5.1,51
1959-08-01,8,1959,5.2,52
